dataset;label;message_id;variant_filename;vocab_type;codepoint;salt_location;n_insert_subject;n_insert_body;spam_flag;score;threshold;rule_count;rules;protocol_line;spamd_headers
baseline;spam;00001.317e78fa8ee2f54cd4890fdc09ba8176;;;;none;;;False;0.2;5.0;1;HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1893 | Spam: False ; 0.2 / 5.0"
baseline;spam;00001.7848dde101aa985090474a91ec93fcf0;;;;none;;;False;1.0;5.0;2;FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN;SPAMD/1.1 0 EX_OK;"Content-length: 1267 | Spam: False ; 1.0 / 5.0"
baseline;spam;00002.9438920e9a55591b18e60d1ed37d992b;;;;none;;;False;0.2;5.0;1;HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1247 | Spam: False ; 0.2 / 5.0"
baseline;spam;00002.d94f1b97e48ed3b553b3508d116e6a09;;;;none;;;False;1.8;5.0;2;HEADER_FROM_DIFFERENT_DOMAINS|SUBJECT_DIET;SPAMD/1.1 0 EX_OK;"Content-length: 2203 | Spam: False ; 1.8 / 5.0"
baseline;spam;00003.2ee33bc6eacdb11f38d052c44819ba6c;;;;none;;;False;1.6;5.0;1;SUBJECT_DIET	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1643 | Spam: False ; 1.6 / 5.0"
baseline;spam;00004.eac8de8d759b7e74154f142194282724;;;;none;;;True;5.4;5.0;5;EXCUSE_24|FAKE_REPLY_C|LOTS_OF_MONEY|MSOE_MID_WRONG_CASE|THIS_AD;SPAMD/1.1 0 EX_OK;"Content-length: 779 | Spam: True ; 5.4 / 5.0"
baseline;spam;00005.57696a39d7d84318ce497886896bf90d;;;;none;;;False;1.8;5.0;2;HEADER_FROM_DIFFERENT_DOMAINS|SUBJECT_DIET;SPAMD/1.1 0 EX_OK;"Content-length: 2252 | Spam: False ; 1.8 / 5.0"
baseline;spam;00005.ed0aba4d386c5e62bc737cf3f0ed9589;;;;none;;;False;1.9;5.0;5;BAD_CREDIT|HEADER_FROM_DIFFERENT_DOMAINS|HK_RANDOM_FROM|LOTS_OF_MONEY|MONEY_FREEMAIL_REPTO;SPAMD/1.1 0 EX_OK;"Content-length: 1440 | Spam: False ; 1.9 / 5.0"
baseline;spam;00006.5ab5620d3d7c6c0db76234556a16f6c1;;;;none;;;False;0.2;5.0;2;LOTS_OF_MONEY|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1496 | Spam: False ; 0.2 / 5.0"
baseline;spam;00007.acefeee792b5298f8fee175f9f65c453;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 922 | Spam: False ; 0.0 / 5.0"
baseline;spam;00007.d8521faf753ff9ee989122f6816f87d7;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1425 | Spam: False ; 0.0 / 5.0"
baseline;spam;00009.027bf6e0b0c4ab34db3ce0ea4bf2edab;;;;none;;;False;0.2;5.0;2;LOTS_OF_MONEY|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1517 | Spam: False ; 0.2 / 5.0"
baseline;spam;00009.1e1a8cb4b57532ab38aa23287523659d;;;;none;;;True;14.4;5.0;13;ADVANCE_FEE_5_NEW_MONEY|BILLION_DOLLARS|DEAR_SOMETHING|HEADER_FROM_DIFFERENT_DOMAINS|HK_NAME_MR_MRS|LOTS_OF_MONEY|MILLION_USD|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|OBFU_TEXT_ATTACH|TVD_PH_BODY_ACCOUNTS_PRE|T_MONEY_PERCENT|T_TVD_MIME_NO_HEADERS;SPAMD/1.1 0 EX_OK;"Content-length: 995 | Spam: True ; 14.4 / 5.0"
baseline;spam;00011.61816b9ad167657773a427d890d0468e;;;;none;;;False;3.7;5.0;2;END_FUTURE_EMAILS|EXCUSE_REMOVE;SPAMD/1.1 0 EX_OK;"Content-length: 1479 | Spam: False ; 3.7 / 5.0"
baseline;spam;00012.cb9c9f2a25196f5b16512338625a85b4;;;;none;;;False;0.0;5.0;2;LOTS_OF_MONEY|T_MONEY_PERCENT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 975 | Spam: False ; 0.0 / 5.0"
baseline;spam;00013.d3f0b591a65f116ea5d9d4ad919f83aa;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1602 | Spam: False ; 0.0 / 5.0"
baseline;spam;00014.13574737e55e51fe6737a475b88b5052;;;;none;;;True;7.1;5.0;3;END_FUTURE_EMAILS|EXCUSE_REMOVE|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 719 | Spam: True ; 7.1 / 5.0"
baseline;spam;00014.7d38c46424f24fc8012ac15a95a2ac14;;;;none;;;False;2.2;5.0;2;HEADER_FROM_DIFFERENT_DOMAINS|MIXED_HREF_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 1450 | Spam: False ; 2.2 / 5.0"
baseline;spam;00015.206d5a5d1d34272ae32fc286788fdf55;;;;none;;;True;8.7;5.0;3;EXCUSE_REMOVE|MSOE_MID_WRONG_CASE|TVD_SUBJ_WIPE_DEBT;SPAMD/1.1 0 EX_OK;"Content-length: 725 | Spam: True ; 8.7 / 5.0"
baseline;spam;00016.4fb07c8dff1a5a2b4889dc5024c55023;;;;none;;;True;7.1;5.0;3;END_FUTURE_EMAILS|EXCUSE_REMOVE|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 1076 | Spam: True ; 7.1 / 5.0"
baseline;spam;00017.1a938ecddd047b93cbd7ed92c241e6d1;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1371 | Spam: False ; 0.0 / 5.0"
baseline;spam;00017.6430f3b8dedf51ba3c3fcb9304e722e7;;;;none;;;False;2.0;5.0;1;MIXED_HREF_CASE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1253 | Spam: False ; 2.0 / 5.0"
baseline;spam;00018.336cb9e7b0358594cf002e7bf669eaf5;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1159 | Spam: False ; 0.0 / 5.0"
baseline;spam;00018.5b2765c42b7648d41c93b9b27140b23a;;;;none;;;True;11.1;5.0;8;ADVANCE_FEE_4_NEW_MONEY|DEAR_FRIEND|HK_NAME_MR_MRS|LOTS_OF_MONEY|MILLION_USD|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|NA_DOLLARS;SPAMD/1.1 0 EX_OK;"Content-length: 781 | Spam: True ; 11.1 / 5.0"
baseline;spam;00019.bbc97ad616ffd06e93ce0f821ca8c381;;;;none;;;False;1.5;5.0;1;ENGLISH_UCE_SUBJECT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1183 | Spam: False ; 1.5 / 5.0"
baseline;spam;00020.29725cf331fc21e18a1809e7d8b27332;;;;none;;;False;0.2;5.0;1;HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 2274 | Spam: False ; 0.2 / 5.0"
baseline;spam;00020.7d36d16fd2be07c4f6a5616590cdea07;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1149 | Spam: False ; 0.0 / 5.0"
baseline;spam;00021.effe1449462a9d7ad7af0f1c94b1a237;;;;none;;;True;9.9;5.0;9;ADVANCE_FEE_5_NEW_MONEY|HEADER_FROM_DIFFERENT_DOMAINS|HK_NAME_MR_MRS|HK_SCAM|LOTS_OF_MONEY|MILLION_HUNDRED|MONEY_FREEMAIL_REPTO|T_MONEY_PERCENT|UNCLAIMED_MONEY	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 811 | Spam: True ; 9.9 / 5.0"
baseline;spam;00022.8203cdf03888f656dc0381701148f73d;;;;none;;;True;11.8;5.0;8;ADVANCE_FEE_5_NEW_MONEY|LOTS_OF_MONEY|MILLION_HUNDRED|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|NA_DOLLARS|OBFU_TEXT_ATTACH|T_MONEY_PERCENT;SPAMD/1.1 0 EX_OK;"Content-length: 786 | Spam: True ; 11.8 / 5.0"
baseline;spam;00022.be66c630a142f0d862c2294a2d911ce1;;;;none;;;False;3.7;5.0;2;END_FUTURE_EMAILS|EXCUSE_REMOVE;SPAMD/1.1 0 EX_OK;"Content-length: 914 | Spam: False ; 3.7 / 5.0"
baseline;spam;00023.5bec0fc32cfc42c9cc5c941d94258567;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1808 | Spam: False ; 0.0 / 5.0"
baseline;spam;00023.b6d27c684f5fc803cfa1060adb2d0805;;;;none;;;True;9.9;5.0;5;BODY_ENHANCEMENT|BODY_ENHANCEMENT2|GUARANTEED_100_PERCENT|IMPOTENCE|MSOE_MID_WRONG_CASE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 739 | Spam: True ; 9.9 / 5.0"
baseline;spam;00024.6b5437b14d403176c3f046c871b5b52f;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1585 | Spam: False ; 0.0 / 5.0"
baseline;spam;00025.619ab8051359048795e3cd09e82ad1a0;;;;none;;;False;2.0;5.0;1;MIXED_HREF_CASE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1436 | Spam: False ; 2.0 / 5.0"
baseline;spam;00025.9054470cb5193db2955a4d4a003698d6;;;;none;;;False;0.3;5.0;3;FIN_FREE|LOTS_OF_MONEY|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1110 | Spam: False ; 0.3 / 5.0"
baseline;spam;00026.da18dbed27ae933172f7a70f860c6ad0;;;;none;;;True;11.1;5.0;8;ADVANCE_FEE_4_NEW_MONEY|DEAR_FRIEND|HK_NAME_MR_MRS|LOTS_OF_MONEY|MILLION_USD|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|NA_DOLLARS;SPAMD/1.1 0 EX_OK;"Content-length: 793 | Spam: True ; 11.1 / 5.0"
baseline;spam;00027.d1d0f97e096fe08fc80a4939355759e7;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1606 | Spam: False ; 0.0 / 5.0"
