message_id;baseline_score;baseline_spam_flag;baseline_rule_count;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00001.317e78fa8ee2f54cd4890fdc09ba8176;0.2;False;1;4;0.2;0.2;0.2;1;False;False;True;True
00002.d94f1b97e48ed3b553b3508d116e6a09;1.8;False;2;4;1.8;1.8;1.8;2;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;1.6;False;1;4;1.6;1.6;1.6;1;False;False;True;True
00004.eac8de8d759b7e74154f142194282724;5.4;True;5;4;5.4;5.4;5.4;5;True;True;False;False
00005.57696a39d7d84318ce497886896bf90d;1.8;False;2;4;1.8;1.8;1.8;2;False;False;True;True
00006.5ab5620d3d7c6c0db76234556a16f6c1;0.2;False;2;4;0.0;0.0;0.0;1;False;False;True;True
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab;0.2;False;2;4;0.0;0.0;0.0;1;False;False;True;True
00009.1e1a8cb4b57532ab38aa23287523659d;14.4;True;13;4;14.4;14.4;14.4;13;True;True;False;False
00011.61816b9ad167657773a427d890d0468e;3.7;False;2;4;0.0;0.0;0.0;1;False;False;True;True
00013.d3f0b591a65f116ea5d9d4ad919f83aa;0.0;False;1;4;0.0;0.0;0.0;1;False;False;True;True
00014.13574737e55e51fe6737a475b88b5052;7.1;True;3;4;3.4;3.4;3.4;1;False;False;True;True
00018.5b2765c42b7648d41c93b9b27140b23a;11.1;True;8;4;11.1;11.1;11.1;8;True;True;False;False
00019.bbc97ad616ffd06e93ce0f821ca8c381;1.5;False;1;4;0.0;0.0;0.0;1;False;False;True;True
00020.29725cf331fc21e18a1809e7d8b27332;0.2;False;1;4;0.2;0.2;0.2;1;False;False;True;True
00021.effe1449462a9d7ad7af0f1c94b1a237;9.9;True;9;4;9.9;9.9;9.9;9;True;True;False;False
00022.8203cdf03888f656dc0381701148f73d;11.8;True;8;4;11.8;11.8;11.8;8;True;True;False;False
00023.5bec0fc32cfc42c9cc5c941d94258567;0.0;False;1;4;0.0;0.0;0.0;1;False;False;True;True
00023.b6d27c684f5fc803cfa1060adb2d0805;9.9;True;5;4;9.9;9.9;9.9;5;True;True;False;False
