message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200B__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200B,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML​M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re​moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML​M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML​M"", ""start"": 510, ""end"": 513, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200C__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200C,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML‌M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re‌moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‌M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‌M"", ""start"": 510, ""end"": 513, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200D__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200D,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML‍M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re‍moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‍M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‍M"", ""start"": 510, ""end"": 513, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp00AD__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,00AD,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML­M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re­moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML­M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML­M"", ""start"": 510, ""end"": 513, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200B__single.7848dde101aa985090474a91ec93fcf0,extended,200B,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In​surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200C__single.7848dde101aa985090474a91ec93fcf0,extended,200C,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In‌surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200D__single.7848dde101aa985090474a91ec93fcf0,extended,200D,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In‍surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp00AD__single.7848dde101aa985090474a91ec93fcf0,extended,00AD,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In­surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
