rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
HTML_IMAGE_ONLY_24;body;body;unlikely;2.799 1.282 1.328 1.618;HTML: images with 2000-2400 bytes of words;eval:html_image_only('2000','2400');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;141
HTML_IMAGE_ONLY_28;body;body;unlikely;2.799 0.726 1.512 1.404;HTML: images with 2400-2800 bytes of words;eval:html_image_only('2400','2800');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;142
HTML_IMAGE_ONLY_32;body;body;unlikely;2.196 0.001 1.172 0.001;HTML: images with 2800-3200 bytes of words;eval:html_image_only('2800','3200');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;143
HTML_IMAGE_RATIO_02;body;body;unlikely;0.001;HTML has a low ratio of text to image area;eval:html_image_ratio('0.000','0.002');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;154
HTML_IMAGE_RATIO_04;body;body;unlikely;0.001;HTML has a low ratio of text to image area;eval:html_image_ratio('0.002','0.004');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;155
HTML_IMAGE_RATIO_06;body;body;unlikely;0.001 0.001 0.001 0.001;HTML has a low ratio of text to image area;eval:html_image_ratio('0.004','0.006');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;156
HTML_IMAGE_RATIO_08;body;body;unlikely;0.001 0.001 0.001 0.001;HTML has a low ratio of text to image area;eval:html_image_ratio('0.006','0.008');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;157
HTML_MESSAGE;body;body;unlikely;0.001;HTML included in message;eval:html_test('html');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;91
HTML_NONELEMENT_30_40;body;body;unlikely;0.000 0.001 0.308 0.001;30% to 40% of HTML elements are non-standard;eval:html_range('non_element_ratio','0.30','0.40');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;199
HTML_NONELEMENT_40_50;body;body;unlikely;0 # n=0 n=1 n=2 n=3;40% to 50% of HTML elements are non-standard;eval:html_range('non_element_ratio','0.40','0.50');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;200
HTML_NONELEMENT_60_70;body;body;unlikely;0 # n=0 n=1 n=2 n=3;60% to 70% of HTML elements are non-standard;eval:html_range('non_element_ratio','0.60','0.70');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;201
HTML_NONELEMENT_80_90;body;body;unlikely;0 # n=0 n=1 n=2 n=3;80% to 90% of HTML elements are non-standard;eval:html_range('non_element_ratio','0.80','0.90');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;202
HTML_OBFUSCATE_05_10;body;body;unlikely;0.601 0.001 0.718 0.260;Message is 5% to 10% HTML obfuscation;eval:html_range('obfuscation_ratio','.05','.1');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;164
HTML_OBFUSCATE_10_20;body;body;unlikely;0.174 1.162 0.588 0.093;Message is 10% to 20% HTML obfuscation;eval:html_range('obfuscation_ratio','.1','.2');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;165
HTML_OBFUSCATE_20_30;body;body;unlikely;2.499 2.441 1.449 1.999;Message is 20% to 30% HTML obfuscation;eval:html_range('obfuscation_ratio','.2','.3');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;166
HTML_OBFUSCATE_30_40;body;body;unlikely;0 # n=0 n=1 n=2 n=3;Message is 30% to 40% HTML obfuscation;eval:html_range('obfuscation_ratio','.3','.4');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;167
HTML_OBFUSCATE_50_60;body;body;unlikely;0 # n=0 n=1 n=2 n=3;Message is 50% to 60% HTML obfuscation;eval:html_range('obfuscation_ratio','.5','.6');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;168
HTML_OBFUSCATE_70_80;body;body;unlikely;0 # n=0 n=1 n=2 n=3;Message is 70% to 80% HTML obfuscation;eval:html_range('obfuscation_ratio','.7','.8');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;169
HTML_OBFUSCATE_90_100;body;body;unlikely;2.000 # n=0 n=1 n=2 n=3   - manually scored per list discussion;Message is 90% to 100% HTML obfuscation;eval:html_range('obfuscation_ratio','.9','1.0');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;170
HTML_TAG_BALANCE_BODY;body;body;unlikely;0.1;"HTML has unbalanced ""body"" tags";eval:html_tag_balance('body', '!= 0');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;179
HTML_TAG_BALANCE_HEAD;body;body;unlikely;0.520 0.000 0.600 0.817;"HTML has unbalanced ""head"" tags";eval:html_tag_balance('head', '!= 0');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;182
HTML_TAG_EXIST_BGSOUND;body;body;unlikely;0 # n=0 n=1 n=2 n=3;"HTML has ""bgsound"" tag";eval:html_tag_exists('bgsound');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;185
HTTPS_HTTP_MISMATCH;body;body;likely;0.1;;eval:check_https_http_mismatch('1','10');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2560
HTTPS_IP_MISMATCH;body;body;likely;0 # n=0 n=1 n=2 n=3;IP to HTTPS link found in HTML;eval:check_https_ip_mismatch();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;163
HTTP_77;uri;body;likely;0 # n=0 n=1 n=2 n=3;Contains an URL-encoded hostname (HTTP77);/http:\/\/.{0,2}\%77/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_uri_tests.cf;85
HTTP_ESCAPED_HOST;uri;body;unlikely;0.1;Uses %-escapes inside a URL's hostname;/^https?\:\/\/[^\/\s\?\&\#\']*(?!%(?:20|3[cCeE])(?:https?:|mailto:))%[0-9a-fA-F][0-9a-fA-F]/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_uri_tests.cf;51
HTTP_EXCESSIVE_ESCAPES;uri;body;likely;0.001;Completely unnecessary %-escapes inside a URL;/^https?:\/\/\S*%(?:3\d|[46][1-9a-f]|[57][\da])/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_uri_tests.cf;57
IMPOTENCE;body;body;likely;1.539 2.144 3.028 1.374;Impotence cure;/\b(?:impotence (?:problem|cure|solution)|Premature Ejaculation|erectile dysfunction)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;80
INVALID_DATE;header;other;unlikely;1.701 0.432 1.200 1.096;Invalid Date: header (not RFC 2822);"Date !~ /^\s*(?:(?i:Mon|Tue|Wed|Thu|Fri|Sat|Sun),\s)?\s*(?:[12]\d|3[01]|0?[1-9])\s+(?i:Jan|Feb|Ma[ry]|Apr|Ju[nl]|Aug|Sep|Oct|Nov|Dec)\s+(?:19[7-9]\d|2\d{3})\s+(?:[01]?\d|2[0-3])\:[0-5]\d(?::(?:[0-5]\d|60))?(?:\s+[AP]M)?(?:\s+(?:[+-][0-9]{4}|UT|[A-Z]{2,3}T|0000 GMT|""GMT""))?(?:\s*\(.*\))?\s*$/ [if-unset: Wed, 31 Jul 2002 16:41:57 +0200]";/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;160
INVALID_DATE_TZ_ABSURD;header;other;unlikely;0.262 0.632 0.706 0.491;Invalid Date: header (timezone does not exist);Date =~ /[-+](?!(?:0\d|1[0-4])(?:[03]0|[14]5))\d{4}$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;169
INVALID_TZ_CST;header;other;likely;0 # n=0 n=1 n=2 n=3;Invalid date in header (wrong CST timezone);ALL =~ /[+-]\d\d[30]0(?<!-0600|-0500|\+0800|\+0930|\+1030)\s+(?:\bCST\b|\(CST\))/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;172
INVALID_TZ_EST;header;other;likely;0 # n=0 n=1 n=2 n=3;Invalid date in header (wrong EST timezone);ALL =~ /[+-]\d\d[30]0(?<!-0500|-0300|\+1000|\+1100)\s+(?:\bEST\b|\(EST\))/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;175
INVESTMENT_ADVICE;body;body;likely;0.1;Message mentions investment advice;/\binvestment advice/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;177
IP_LINK_PLUS;uri;body;likely;0.001 0.001 0.246 0.012;Dotted-decimal IP address followed by CGI;m{^https?://\d+\.\d+\.\d+\.\d+.{0,20}(?:cgi|click|ads|id=)}i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_uri_tests.cf;61
JAPANESE_UCE_SUBJECT;header;subject;likely;0 # n=0 n=1 n=2 n=3;Subject contains a Japanese UCE tag;"Subject =~ /\e\$B.*(?:L\$>5Bz|EE;R%a!<%k)(?:8x|9-)9p/";/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;213
JH_SPAMMY_PATTERN01;rawbody;body;likely;1.000 1.000 1.000 1.000;Unusual pattern seen in spam campaign;"m;<img src=['""](https?://[^'""]{1,80}/)C([^/.]{1,30}\.jpg)['""]>.{0,200}<img src=""\1U\2"";ism";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2582
JH_SPAMMY_PATTERN02;rawbody;body;likely;1.000 1.000 1.000 1.000;Unusual pattern seen in spam campaign;"m;<img [^>]{0,50}src=['""](https?://[^""'\s]{1,80}\.php\?)t=o(\&[^""'\s]{1,50})[""'][>\s].{0,200}<a href=""\1t=c\2"".{0,200}<a href=""\1t=u\2"";ism";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2590
JM_I_FEEL_LUCKY;uri;body;likely;0 # n=0 n=1 n=2;;/(?:\&|\?)btnI=ec(?:$|\&)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2598
JM_RCVD_QMAILV1;header;other;unlikely;0 # n=0 n=1 n=2 n=3;;Received =~ /by \S+ \(Qmailv1\) with ESMTP/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2604
JOIN_MILLIONS;body;body;likely;0.1;Join Millions of Americans;/\bjoin (?:millions|thousands)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;139
KB_RATWARE_OUTLOOK_08;header;other;unlikely;0;;"ALL =~ /^Message-Id: <....([0-9a-f]{8})\$[0-9a-f]{8}\$.{100,400}boundary=""----=_NextPart_000_...._\1\./msi  # """;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2635
KB_RATWARE_OUTLOOK_12;header;other;unlikely;0;;"ALL =~ /^Message-Id: <....([0-9a-f]{8})\$([0-9a-f]{4})[0-9a-f]{4}\$.{100,400}boundary=""----=_NextPart_000_...._\1\.\2/msi  # """;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2640
KB_RATWARE_OUTLOOK_16;header;other;unlikely;0;;"ALL =~ /^Message-Id: <....([0-9a-f]{8})\$([0-9a-f]{8})\$.{100,400}boundary=""----=_NextPart_000_...._\1\.\2/msi  # """;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2645
KB_RATWARE_OUTLOOK_MID;header;other;unlikely;4.400 4.400 2.503 1.499;;"ALL =~ /^Message-Id: <....([0-9a-f]{8})\$([0-9a-f]{8})\$[0-9a-f]{8}\@.{100,400}boundary=""----=_NextPart_000_...._\1\.\2""/msi";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2650
KOREAN_UCE_SUBJECT;header;subject;likely;0 # n=0 n=1 n=2 n=3;Subject: contains Korean unsolicited email tag;Subject =~ /[({[<][. ]*(?-i:\xbc\xba[. ]*\xc0\xce[. ]*)?(?-i:\xb1\xa4(?:[. ]*|[\x00-\x7f]{0,3})\xb0\xed|\xc1\xa4[. ]*\xba\xb8|\xc8\xab[. ]*\xba\xb8)[. ]*[)}\]>]/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;239
LIVEFILESTORE;uri;body;likely;0.1;;m~livefilestore.com/~;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2686
LIVE_PORN;body;body;likely;0 # n=0 n=1 n=2 n=3;Possible porn - Live Porn;/\blive .{0,9}(?:fuck(?:ing)?|sex|naked|girls?|virgins?|teens?|porno?)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_porn.cf;41
LOCALPART_IN_SUBJECT;header;subject;likely;0.001 0.730 1.199 1.107;Local part of To: address appears in Subject;eval:check_for_to_in_subject('user');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;561
LONG_TERM_PRICE;body;body;likely;0.001 # n=0 n=1 n=2 n=3;;/long\W+term\W+(?:target|projected)(?:\W+price)?/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2728
LOOPHOLE_1;body;body;likely;0 # n=0 n=1 n=2 n=3;A loop hole in the banking laws?;/loop-?hole in the banking/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2733
LOW_PRICE;body;body;likely;0.1;Lowest Price;/\blow.{0,4} (?-i:P)rice/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;145
L_SPAM_TOOL_13;header;other;unlikely;0.539 0.485 0.494 1.333 # n=2;;Date =~ /\s[+-]\d(?![2358]45)\d[124-9]\d$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2781
MALE_ENHANCE;body;body;likely;3.100 3.099 3.099 0.851;Message talks about enhancing men;/male enhancement/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;181
MARKETING_PARTNERS;body;body;likely;0.553 0.235 0.689 0.001;Claims you registered with a partner;/\b(?:marketing|network) partner|\bpartner (?:web)?site/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;142
MICROSOFT_EXECUTABLE;body;body;likely;0.1;Message includes Microsoft executable program;eval:check_microsoft_executable();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_antivirus.cf;30
MID_DEGREES;header;other;unlikely;0 # n=0 n=1 n=2 n=3;;Message-ID =~ /^<\d{14}\.[A-F0-9]{10}\@[A-Z0-9]+>$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2840
MILLION_HUNDRED;body;body;likely;2.699 2.497 2.699 2.497;"Million ""One to Nine"" Hundred";/Million\s+\S+\s+Hundred/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2845
MILLION_USD;body;body;likely;1.999 1.997 1.999 1.997;Talks about millions of dollars;/Million\b.{0,40}\b(?:United States? Dollars?|USD)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;2852
MIMEPART_LIMIT_EXCEEDED;body;body;unlikely;0.001;Message has too many MIME parts;eval:check_for_mime('mimepart_limit_exceeded');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;154
