message_id;baseline_score;baseline_spam_flag;baseline_rule_count;baseline_action;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;0.9;False;14;no action;4;0.9;0.9;0.9;14;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;1.0;False;11;no action;4;1.0;1.0;1.0;11;False;False;True;True
00004.eac8de8d759b7e74154f142194282724;16.5;True;19;reject;4;16.5;16.5;16.5;19;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;10.04;True;26;add header;4;10.04;10.04;10.04;26;True;True;False;False
00024.6b5437b14d403176c3f046c871b5b52f;3.5;False;13;no action;4;3.5;3.5;3.5;13;False;False;True;True
00040.949a3d300eadb91d8745f1c1dab51133;4.9;False;23;no action;4;4.9;4.9;4.9;23;False;False;True;True
00041.f1b3402799046db3c1f143a911dc085d;8.0;True;21;add header;4;8.0;8.0;8.0;21;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;1.0;False;12;no action;4;1.0;1.0;1.0;12;False;False;True;True
00054.62863160db27f89df8c73275b6dae134;1.5;False;17;no action;4;1.5;1.5;1.5;17;False;False;True;True
00058.64bb1902c4e561fb3e521a6dbf8625be;3.3;False;22;no action;4;3.3;3.3;3.3;22;False;False;True;True
00064.65b95365450ebe5eef61e7f1c60edc5e;6.0;True;24;add header;4;6.0;6.0;6.0;24;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;10.299999;True;25;add header;4;10.299999;10.299999;10.299999;25;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;2.5;False;12;no action;4;2.5;2.5;2.5;12;False;False;True;True
00105.d8f25617befc5289aa4ed9602457050b;8.0;True;21;add header;4;8.0;8.0;8.0;21;True;True;False;False
00115.c97af50ef7ccd816f95bbdc6f4d226b2;13.06;True;27;add header;4;12.06;12.06;12.06;26;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;2.0;False;12;no action;4;2.0;2.0;2.0;12;False;False;True;True
00127.3500d109361b544b0937523adb763588;4.5;False;20;no action;4;4.5;4.5;4.5;20;False;False;True;True
00128.721b6b20d5834d490662e2ae8c5c0684;12.225;True;29;add header;4;11.225;11.225;11.225;28;True;True;False;False
00153.6a5ffe584834ea334041ab958cadcadb;10.0;True;22;add header;4;10.0;10.0;10.0;22;True;True;False;False
00154.b6c448ccff434e2dbe2c7c200a36aa31;3.0;False;14;no action;4;3.0;3.0;3.0;14;False;False;True;True
00159.6b641c70d79fd5a69b84a94b4e88150a;8.29;True;23;add header;4;8.29;8.29;8.29;23;True;True;False;False
00160.cec5f611ae665ff0add6c4928d47f2be;6.5;True;19;add header;4;6.5;6.5;6.5;19;True;True;False;False
00163.2ceade6f8b0c1c342f5f95d57ac551f5;7.29;True;25;add header;4;7.29;7.29;7.29;25;True;True;False;False
00169.86268e75abd1bd4bda4d6c129681df34;1.0;False;13;no action;4;1.0;1.0;1.0;13;False;False;True;True
00172.0935a6d0aef9a3d6d64e07e3f6c453ec;7.5;True;15;add header;4;7.5;7.5;7.5;15;True;True;False;False
00173.e10eb62e2c7808674c43d6a5e9e08a1c;5.8;False;22;no action;4;5.8;5.8;5.8;22;False;False;True;True
00179.ef2f7cf60806a96b59f4477b025580ee;6.0;True;21;add header;4;5.5;5.5;5.5;20;False;False;True;True
00180.751cb63992e172566b3a296d970c425d;5.41;False;16;no action;4;4.91;4.91;4.91;15;False;False;True;True
00182.1b9ba0f95506a6f2bf256f40fad0687d;6.0;True;18;add header;4;6.0;6.0;6.0;18;True;True;False;False
00185.8ca19012fa3f2a906f23c3b41f11ffed;1.5;False;12;no action;4;1.5;1.5;1.5;12;False;False;True;True
00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;3.5;False;13;no action;4;3.5;3.5;3.5;13;False;False;True;True
00187.efd97ab2034b3384606e21db00014ecb;9.6;True;25;add header;4;8.6;8.6;8.6;24;True;True;False;False
00188.b12197b37ceb97fa0cd802566c1e08db;5.01;False;16;no action;4;4.51;4.51;4.51;15;False;False;True;True
00190.ee2ea200e7efa602221c6492f9d9d8c0;9.51;True;18;add header;4;9.01;9.01;9.01;17;True;True;False;False
00191.9ff80a41f015b7a6c409732e41c0df07;4.910557;False;17;no action;4;4.910557;4.910557;4.910557;17;False;False;True;True
00194.767c323b4ae7a4909397e42cbd0c56a4;9.1;True;19;add header;4;7.6;7.6;7.6;17;True;True;False;False
00196.dd21040c7757d477c967ae71b537810e;6.3;True;23;add header;4;6.3;6.3;6.3;23;True;True;False;False
00198.150ad975a44e356b479b88d8b57edc40;10.51;True;18;add header;4;10.01;10.01;10.01;17;True;True;False;False
00207.0b71ac81a360455c1514f5872564b1e1;8.1;True;18;add header;4;7.6;7.6;7.6;17;True;True;False;False
00209.5276f967533f2ce0209c1eff631a86ff;3.5;False;13;no action;4;3.5;3.5;3.5;13;False;False;True;True
00211.4a52fb081c7087c4a82402342751e755;10.0;True;18;add header;4;10.0;10.0;10.0;18;True;True;False;False
00214.1367039e50dc6b7adb0f2aa8aba83216;2.5;False;12;no action;4;2.5;2.5;2.5;12;False;False;True;True
00217.43b4ef3d9c56cf42be9c37b546a19e78;13.0;True;25;add header;4;13.0;13.0;13.0;25;True;True;False;False
00224.0654fe0af51e1dcefa0eb66eb932f55f;8.825;True;17;add header;4;5.4;5.4;5.4;16;False;False;True;True
00228.cf58326ab05a757c7e759acc8d6b360d;4.9;False;22;no action;4;4.9;4.9;4.9;22;False;False;True;True
00231.8c72952de376293bc38d30834c0bb580;5.3;False;18;no action;4;5.3;5.3;5.3;18;False;False;True;True
00233.3c32285387ebc0675adb029b9e20e581;3.5;False;13;no action;4;3.5;3.5;3.5;13;False;False;True;True
00236.a46588c69d43e80c618038b95eff2893;4.85;False;16;no action;4;4.85;4.85;4.85;16;False;False;True;True
00248.b243bca51ee69d6e428ca2f45f0fe41b;3.5;False;13;no action;4;3.5;3.5;3.5;13;False;False;True;True
00249.5f45607c1bffe89f60ba1ec9f878039a;6.0;True;18;add header;4;6.0;6.0;6.0;18;True;True;False;False
