message_id,strict_has_trigger,extended_has_trigger,broad_has_trigger,strict_subject_count,strict_body_count,extended_subject_count,extended_body_count,broad_subject_count,broad_body_count,is_candidate_strict,is_candidate_extended,is_candidate_broad
00004.bdcc075fa4beb5157b5dd6cd41d8887b,False,False,False,0,0,0,0,0,0,False,False,False
00004.eac8de8d759b7e74154f142194282724,False,True,True,0,0,0,7,1,37,False,True,True
00024.6b5437b14d403176c3f046c871b5b52f,False,True,True,0,0,0,3,0,11,False,True,True
00025.619ab8051359048795e3cd09e82ad1a0,False,False,True,0,0,0,0,1,0,False,False,True
00035.bd7183c238b884a153ad4888fbee9bf6,False,True,True,0,0,0,1,0,17,False,True,True
00046.96a19afe71cd6f1f14c96293557a49ff,False,False,False,0,0,0,0,0,0,False,False,False
00057.01c83e8ad13d3f438c105ebc31808aa4,False,True,True,0,0,0,4,0,6,False,True,True
00058.64bb1902c4e561fb3e521a6dbf8625be,False,True,True,0,0,1,0,1,0,False,True,True
00061.bec763248306fb3228141491856ed216,False,False,False,0,0,0,0,0,0,False,False,False
00064.839dfb3973ed439e19c1ca77cffdab3d,False,True,True,0,0,0,5,0,18,False,True,True
00071.4b7e06d97286ec97820a0f8725878126,False,True,True,0,0,0,2,0,5,False,True,True
00073.fa47879bac3adc4b716130566ee0a2a6,False,True,True,0,0,0,1,0,7,False,True,True
00078.6944f51ce9c0586d8f9137d2d2207df0,False,False,True,0,0,0,0,1,0,False,False,True
00083.c1891c507954e5b75b72b16712e799bf,False,False,False,0,0,0,0,0,0,False,False,False
00088.1673f91313df07da1a18b2fc458dd4c4,False,False,False,0,0,0,0,0,0,False,False,False
00101.5a24bf3ba3962442179b1a0325a1d1cb,False,False,True,0,0,0,0,1,0,False,False,True
00104.04d165183bb8feab0956362c70591b3d,False,False,False,0,0,0,0,0,0,False,False,False
00104.67ea4a37ac02d37f4baa7631ba17a824,False,True,True,0,0,0,3,2,15,False,True,True
00115.c97af50ef7ccd816f95bbdc6f4d226b2,False,True,True,0,0,0,1,0,8,False,True,True
00116.29e39a0064e2714681726ac28ff3fdef,False,False,False,0,0,0,0,0,0,False,False,False
00122.98bcaad36eb81e75911371f841f28dfc,False,False,True,0,0,0,0,0,2,False,False,True
00123.a5ee0040ec9a30b3f32f61e547fa5f8f,False,False,True,0,0,0,0,1,0,False,False,True
00124.e757f78e3a015f784045f87c81e9ce87,False,False,False,0,0,0,0,0,0,False,False,False
00125.120d27c936362896c00a3db9d3a4571e,False,False,False,0,0,0,0,0,0,False,False,False
00128.721b6b20d5834d490662e2ae8c5c0684,False,True,True,0,0,0,1,2,8,False,True,True
00130.1ad579dc65cd646549fe87f565bdec5c,False,True,True,0,0,0,1,1,7,False,True,True
00132.9a7cc8c762a4901f2b899d722b5f4731,False,True,True,0,0,0,2,0,15,False,True,True
00133.17dccf2499a4245b83890e0784c43499,False,False,False,0,0,0,0,0,0,False,False,False
00133.7dbf2e71621f92eada31cc655ff12fd3,False,True,True,0,0,0,1,0,5,False,True,True
00139.b2a205ac25d7d907cdfb3f865dbae1ae,False,False,False,0,0,0,0,0,0,False,False,False
00149.c07359393107925a86798dd72d6a56b3,False,False,False,0,0,0,0,0,0,False,False,False
00150.957bb781217f762dc9999e7a90130c92,False,False,False,0,0,0,0,0,0,False,False,False
00152.a9f16de7f087215259a15322961bf9c0,False,False,False,0,0,0,0,0,0,False,False,False
00153.6a5ffe584834ea334041ab958cadcadb,False,True,True,0,0,1,3,1,6,False,True,True
00154.b6c448ccff434e2dbe2c7c200a36aa31,False,True,True,0,0,0,1,0,14,False,True,True
00154.fb13b55bdbb01e81ac9b8ee6f13948d5,False,False,False,0,0,0,0,0,0,False,False,False
00155.b043f6801a72ada945205709c44c8ac4,False,False,True,0,0,0,0,1,0,False,False,True
00159.6b641c70d79fd5a69b84a94b4e88150a,False,True,True,0,0,0,2,0,4,False,True,True
00161.37836bbc77bdab253f914d7a5233badb,False,False,True,0,0,0,0,2,0,False,False,True
